StatusEffectList|263
BossStatusEffectList|312
Ability1|2aa
Ability8|0b3
Ability16|e6
Ability24|10a
Ability32|1c8
ActorCast|1ec
AddStatusEffect|10b
ActorControl142|12f
ActorControl143|201
ActorControl144|1be
UpdateHpMpTp|075
PlayerSpawn|dc
NpcSpawn|219
NpcSpawn2|314
ActorMove|1a2
ActorSetPos|296
ActorGauge|337
