StatusEffectList|183
BossStatusEffectList|2b5
Ability1|26b
Ability8|33e
Ability16|305
Ability24|23f
Ability32|352
ActorCast|3b1
AddStatusEffect|267
ActorControl142|3be
ActorControl143|0e3
ActorControl144|24d
UpdateHpMpTp|125
PlayerSpawn|262
NpcSpawn|186
NpcSpawn2|10c
ActorMove|21b
ActorSetPos|068
ActorGauge|16d
