StatusEffectList|23a
BossStatusEffectList|00e6
Ability1|00A7
Ability8|00A9
Ability16|015f
Ability24|0292 
Ability32|0268
ActorCast|012c
AddStatusEffect|0153
ActorControl142|0164
ActorControl143|0264
ActorControl144|016c
UpdateHpMpTp|032d
PlayerSpawn|0386
NpcSpawn|010a
NpcSpawn2|0115
ActorMove|01bc
ActorSetPos|0311
ActorGauge|037f
