StatusEffectList|0399
BossStatusEffectList|0236
Ability1|0165
Ability8|00e9
Ability16|007f
Ability24|0299 
Ability32|01df
ActorCast|028e
AddStatusEffect|00b9
ActorControl142|008d
ActorControl143|00eb
ActorControl144|01f5
UpdateHpMpTp|012d
PlayerSpawn|0243
NpcSpawn|021b
NpcSpawn2|0137
ActorMove|00dd
ActorSetPos|0092
ActorGauge|01d2 
